id,Message text,Текст Сообщения,Тематика,Ответственное лицо,Категория,Kategory
2240,Aggressive dogs. On the rainbow there is a flock of grown puppies and adult dogs. They rushed at the Child. Soyaki rush to try to bite the legs. Talking to the guards didn't work.,Агресивные собаки. На радуге там стая из подросших щенков и зврослых собак. Они на Ребенка  бросилась.  Соьаки бросаются пытаются за ноги  укусить. Разговор с охранниками не дал результатов,Безнадзорные животные,Администрация города Курска,1,Another
596,"At the intersection of Sosnovskaya and Beregovaya streets, everything is littered with sand and gravel on the sanitary zone of the site that belongs to the MUP KGTPO (central market) it is impossible not to pass without passing with a stroller","<p>На пересечении &nbsp;улиц Сосновская и Береговая &nbsp;завалено все песком и гравием на санитарной зоне участка который относится к <span style=`background-color:rgb(255,255,255);color:rgb(51,51,51);`>МУП КГТПО &nbsp; ( центральный рынок) невозможно не пройти не проехать с коляской</span>&nbsp;</p>",Нескошенная сорная растительность в местах общего пользования в районах частного сектра,Комитет дорожного хозяйства города Курска,3,Another
2833,"A caustic and unhealthy smell from the quarries of the Cheese Valley plant. - they clean pipes and technical baths with `caustic soda`, then this liquid is poured into the soil without filtration, from where everything enters the groundwater; - in recent years there have been two big fires in the quarries. fat is drained there, which burns well. The gas pipeline was damaged due to the fire. In the presence of wind, the village could burn down; - a pungent odor spreads up to 10 km in different directions, depending on the direction of the wind; - sewage fell into the forest in winter, and a couple of years ago into the pond of Kalinovka village; - an activist who fought against this phenomenon (Dmitry Kutepov) was intimidated by the plant's guards, and people from law enforcement agencies were threatened with a prison term; - Since 2008, the villagers have been complaining, but no action has been taken; - Children have repeatedly fallen into these careers, incl. Adults. No deaths; - headaches and asthma attacks develop from a pungent odor. * Clean water is purposefully collected in one quarry. This quarry is located near the road and all inspections take samples from it. Made it specifically for this. At the moment, waste is drained at night, but it happens during the day. Always at different times. When draining, the fatty film on the surface is broken and everything is tightened with a pungent odor. According to the norms and legislation of the Russian Federation, this production should not be located near residential buildings. Hence, there is a gross violation of the location of production and the location of its tanks for draining sewage. We hope that the laws of the Russian Federation will be observed and production will be moved to another place far from residential buildings or the pits will be drained,","Едкий и вредный для здоровья запах от карьеров завода `Сырная долина`.  - чистят трубы и технические ванны `каустиковой содой`, потом эту жидкость сливают в грунт без фильтрации, откуда все попадает в грунтовые воды; - за последние годы было два больших пожара в карьерах т.к. туда сливается жир, который хорошо горит. Из-за пожара был поврежден газопровод. При наличии ветра, могла сгореть деревня; - едкий запах разносится до 10 км в разные стороны, в зависимости от направления ветра; - нечистоты зимой попадали в лес, а пару лет назад в пруд д. Калиновка; - активиста который боролся с данным явлением (Дмитрий Кутепов), запугивали охранники завода, а люди из правоохранительных органов грозили тюремным сроком; - с 2008 года жители деревни жалуются, но мер никаких принято не было; - неоднократно в данные карьеры падали дети и в т.ч. Взрослые. Без летальных исходов; - от едкого запаха развиваются головные боли и приступы астмы.  * В один карьер целенаправлено набирают чистую воду. Этот карьер находится вблизи дороги и все проверки берут пробы из него. Сделали его специально для этого.  На данный момент сливают отходы в ночное время суток, но бывает и днём. Всегда в разное время. При сливе нарушается жировая пленка на поверхности и все затягивает едким запахом.  По нормам и законодательству Российской Федерации, данное производство не должно быть размещено рядом с жилыми домами. Отсюда на лицо грубое нарушение размещения производства и расположения его резервуаров для слива нечистот.  Надеемся что законы Российской Федерации будут соблюдены и производство будет перенесено в другое место в дали от жилых домов или ямы будут осушены, а все нечистоты будут вывозиться в специальные места для их дальнейшей утилизации.",Неприятные запахи,Комитет природных ресурсов Курской области,16,Another
1593,"Good afternoon. At the stop `Ploshchad Rokossovskogo` the underpass is in very poor condition. It is difficult to go down into it and it is difficult to climb out of it, since its steps are broken, and in winter ice still appears on them, which makes movement several times more difficult (both going down to this underground passage and going up). There is a great opportunity to fall and get injured, even holding on to the railing, because if the steps are just icy, then there is still an opportunity to somehow hold on to them, leaning on the railing when descending or ascending, and in this case, the steps of this transition are not only covered with ice in winter , but they are also in a terrible state that is dangerous to people's health. I ask you to deal with this problem and make good steps in this underground passage. Sincerely, Polovinkin V. S.","<p>Добрый день.&nbsp;</p><p>На остановке `Площадь Рокоссовского` подземный переход находится в очень плохом состоянии. В него трудно спускаться и из него трудно подниматься, так как его ступени разбиты, а зимой ещё на них появляется лёд, что в несколько раз затрудняет передвижение (как спуск в данный подземный переход, так и подъём). Велика возможность упасть и получить травму, даже держась за перила, ведь, если ступени просто заледенели, то на них ещё есть возможность как-то удержаться, опираясь на перила при спуске или подъёме, а в данном случае ступени данного перехода не только покрываются льдом зимой, но и находятся в ужасном, опасном для здоровья людей, состоянии.</p><p>Прошу Вас разобраться с данной проблемой и сделать хорошие ступени в данном подземном переходе.</p><p>С уважением,</p><p>Половинкин В. С.</p>",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Комитет природных ресурсов Курской области,0,Another
1900,"Hello, in the village of Stary Buzets, the roads have not been cleared of snow for 3 days. There is no way to go to work. I work in a taxi, I have to pay for a car rental, but I can’t leave for the second day. I'm standing here in the middle of the road, stuck in the snow, under which there is ice.","Здравствуйте, в д. Старый Бузец уже 3 дня не чистят дороги от снега. Нет возможности выехать на работу. Работаю в такси, аренду автомобиля необходимо платить, а я выехать второй день не могу. Стою вот посреди дороги, застряв в снегу, под которым лёд.",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Администрация Железногорского района,0,Another
1635,"Good afternoon. Please help us solve our problem! In the courtyard of the house Orlovskaya 12 and the house Orlovskaya 16, for many years there has been a pit, which is constantly filled with water. It is impossible to drive a car, let alone walk.","<p>Добрый день. Прошу помощи в решении нашей проблемы! Во дворе дома Орловская 12 и дома Орловская 16, на протяжении многих лет находится яма, которая постоянно находится с водой. Проехать на машине невозможно, тем более пройти пешком.</p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет городского хозяйства города Курска,0,Another
304,Old garages next to star 11a. Bottles of rubbish are thrown around them.,<p>Старые гаражи рядом с звездной 11а. Вокруг них закидано мусором бутылками.</p>,Неудовлетворительная уборка улиц и тротуаров,Администрация города Курска,3,Another
630,Road,<p>Дорога&nbsp;</p>,Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
849,"Good afternoon. Today, 08/17/2021, an accident involving a pedestrian occurred in front of my house. Not so long ago, the park was landscaped and the exit from this very park to the road was laid out of paving slabs. Unfortunately, the crossing from this exit was not secured by a pedestrian crossing. For many years, this section of the road has been the shortest way to get through the carriageway to the private sector of buildings and is very popular among the elderly and schoolchildren. The crossing with a traffic light, which was installed not far from this place, did not improve the situation, and people both crossed the road lower towards APZ-20 and still do it. I ask you to consider the option of installing a “Pedestrian crossing” sign and applying appropriate markings on this section in order to prevent possible accidents involving pedestrians, as well as to regulate the speed limit of vehicles that repeatedly exceed the speed limit on this section of the road at night, thereby exposing citizens to additional danger. Thank you for your assistance. Novel","<p>Добрый день. Сегодня 17.08.2021 напротив моего дома произошло ДТП с участием пешехода. Не так давно проводилось благоустройство парка и был выложен из тротуарной плитки выход из этого самого парка к дороге. К сожалению, переход через проезжую часть от этого выхода не был обезопасен пешеходным переходом. Данный участок дороги уже на протяжении многих лет является наиболее кротчайшим способом попасть через проезжую часть в частный сектор построек и пользуется большой популярностью у граждан престарелого возраста и школьников. Переход со светофором, который был установлен недалеко от этого места не исправил ситуацию и люди как переходили дорогу ниже по направлению к АПЗ-20, так и переходят. Прошу Вас рассмотреть вариант установки знака “Пешеходный переход” и нанесение соответствующей разметки на данном участке с целью предотвращения возможных несчастных случаев с участием пешеходов, а также для урегулирования скоростного режима транспортных средств, которые многократно превышают скоростной лимит на данном участке дороги в ночное время суток, тем самым подвергая дополнительной опасности граждан. Благодарю за содействие. Роман</p>",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
1381,"There is no road lighting from the beginning of Pobedy Avenue, including in the area of ​​the pedestrian crossing from the Meteorological Station stop from the side of Tamchishina Street along the Walk of Fame, which creates a danger of an emergency.","<p>Отсутствует освещение дороги&nbsp;</p><p>от начала проспекта Победы, в том числе, в районе пешеходного перехода от остановки Метеостанции со стороны улицы Тамчишина вдоль Аллеи Славы, что создает опасность аварийной ситуации.</p>",Неработающее наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3,Another
2295,Please put me and my family on the waiting list for financial assistance,Прошу включить меня и мою семью в очередь на получение материальной помощи,Социальные льготы,Администрация города Курска,6,Another
2182,"We are constantly cleaning the territory between the extreme houses on Anatoly Deriglazov Avenue and SNT ""Festivalnoe"", but ""things are still there"", according to information from summer residents, the land plot on which the dump 24 by 7 was sold by the chairman of the SNT and this unauthorized landfill has owners . Who is to blame and what to do? We have an apartment on Deriglazova Street and a summer cottage in SNT ""Festivalnoe"", this situation has already bothered me, where are the tanks of SNT? Unclear! 1 or 2 tanks for such a huge SNT is a shame, but not a reason to spoil.","Постоянно убираем территорию между крайними домами на проспекте Анатолия Дериглазова и СНТ «Фестивальное», но «воз и ныне там», по информации от дачников земельный участок, на котором помойка 24 на 7, продан председателем СНТ и у этого несанкционированного полигона с отходами есть хозяева. Кто виноват и что делать? У нас и квартира на Дериглазова и дачный участок в СНТ «Фестивальное», эта ситуация уже достала, где баки СНТ? Непонятно! 1 или 2 бака на такое огромное СНТ это позор, но не повод гадить.",Несанкционированные свалки твёрдых бытовых отходов,Комитет природных ресурсов Курской области,16,Another
1086,"Opposite op 412 km (by rail) there are sawn branches, and a lot of garbage, I would like the owner of the infrastructure to put things in order near his place, and also cut all the wild plants to the end. You understand that some of the dry branches are left there, now our crazy youth can take and replenish, and next to the house, everything will burn there. Hope for understanding.","<p>Напротив оп 412 км (по жд) воляются спилинные ветки, и очень много мусора, хотелось бы что бы собственник инфраструктуры навёл порядок возле своего места, а также до конца выпилил все дикоростущие растения. Вы понимаете что часть сухих веток там воляются, сейчас наша безумная молодёж может взять и пополнить, а рядом дома, там погорит все.&nbsp;</p><p>Надеюсь на понимание.&nbsp;</p>",Нарушение правил пожарной безопасности в сфере природопользования,Администрация Курчатовского района,16,3
1963,"Under the “year of roads” program, work was carried out during which the roadway was being repaired in the area of ​​the Belgorodskaya 20 house, the sign was removed upon completion, and the pins remained in the ground, I tore the bottom of the car while parking and hung on them, please cut or remove them as soon as possible","По программе «год дорог» проходили работы при которых проходил ремонт дорожного полотна в районе дома Белгородская 20, знак по завершению убрали, а штыри в земле остались, я паркуясь разодрал дно авто и повис на них, прошу срезать или извлечь их в кратчайшие сроки",Дорожные знаки на дорогах в микрорайонах ИЖС,Администрация города Курска,0,Another
1415,"I ask you to make a rate for the mask mode for minibuses Kursk-Tetkino-Kursk, Kursk-Belgorod-Kursk, etc. Rest Lgovsky turn. And look that your mask mode is not observed even by the attendants (driver). During the raid, please take pictures. Taking into account the fact that I recently went and there were 8 passengers in the minibus, taking into account the driver without masks, of course, you will not get 5-6 protocols, if something managed to put on a mask when you see you, you must also draw up a protocol. I hope for understanding, and for a photo report. In general, you need to conduct continuous video recording to confirm the violation.","<p>Прошу Вас сделать рейт по масочному режиму для маршруток Курск-Теткино-Курск, Курск-Белгород-Курск и т.д. Ост. Льговский поворот. И посмотрите что Ваш масочный режим не соблюдает даже обслуживающий персонал (водитель). В ходе рейда прошу делать фотки.&nbsp;</p><p>С учетом того что я недавно ехала и в маршрутке было 8 пассажиров с учетом водителя без масок, разумеется у Вас не получиться 5-6 протоколов, если что то успел надеть маску при виде Вас надо тоже составлять протокол. Надеюсь на понимание, и на фотоотчет.&nbsp;</p><p>А вообще Вам надо вести неприрывную видео-фиксацию дляпотверждения нарушения.&nbsp;</p>",Неудовлетворительное санитарное состояние транспорта при осуществлении  муниципальных (пригородных) перевозок,Комитет транспорта и автомобильных дорог Курской области,8,Another
259,"Good afternoon! After adjusting the traffic lights on this section, the traffic light on the main road began to work incorrectly: when the yellow signal is lit for drivers, the green signal is lit for pedestrians, and cars and pedestrians move simultaneously. Nearby is the Palace of Pioneers, which is attended by thousands of children. Repeatedly in front of my eyes people were almost knocked down. Please take action, thank you!","<p>Добрый день! После регулировки светофоров на данном участке светофор на главной дороге стал работать некорректно: когда у водителей горит жёлтый сигнал, у пешеходов загорается зелёный, происходит одновременное движение автомобилей и пешеходов. Рядом находится Дворец пионеров, в котором занимаются тысячи детей. Неоднократно на моих глазах чуть не сбивали людей. Прошу принять меры, спасибо!</p>",Светофоры на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0,Another
2010,"On the way from st. Karl Marx in the direction of Iskra settlement, solid pits, patching was done anyhow, the seams on the road were not spilled with bituminous mixture. Please do it well!!!","По дороге от ул. Карла Маркса в сторону п. Искра сплошные ямы, ямочный ремонт сделали абы как, швы на дороге битумной смесью не пролили. Прошу сделать качественно !!!",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет транспорта и автомобильных дорог Курской области,0,Another
926,"For the next day in a row, a strong stench from the Mushroom Rainbow, it is impossible to stay on the street for a long time, the windows in the house cannot be opened. Are you going to take real action or not??? From your answers about various studies and investigations, there is no result, the stench has remained as it was.","<p>Очередные сутки подряд сильная вонь от Грибной радуги, на улице невозможно находится продолжительное время, окна в доме открыть нельзя. Вы будете прдпринимать реальные меры или нет??? От Ваших ответов про разные исследования и расследования результата никакого, вонь как была, так и осталась.&nbsp;</p>",Неприятные запахи,Комитет природных ресурсов Курской области,16,Another
