Message text,Категория,Kategory
Aggressive dogs. On the rainbow there is a flock of grown puppies and adult dogs. They rushed at the Child. Soyaki rush to try to bite the legs. Talking to the guards didn't work.,1,Another
"There is no road lighting from the beginning of Pobedy Avenue, including in the area of ​​the pedestrian crossing from the Meteorological Station stop from the side of Tamchishina Street along the Walk of Fame, which creates a danger of an emergency.",3,Another
Please put me and my family on the waiting list for financial assistance,6,Another
I propose to check the quality of this bread and compliance with the production technology as a whole at the plant. Mouse poop found in bread,13,Another
"Good afternoon ! Applied in May 2021 for an increased allowance from 3 to 7 years for her first child, who turned 4 in March 2021. A refusal came, although according to all my calculations it should have been approved. The reason given in the refusal is that the first reason is that it exceeds income, the second reason is that an able-bodied family member does not work, that is, I am. I now explain my position. The reason exceeds income: is a child born in April 2021 considered in the calculations, and payments from 3 to 7 years are included in the amount when calculating the living wage? If not, then we have to go through the amount of income for 4 people in the family - my husband's salary for the past year was about 300 thousand, I received unemployment payments from April to September, this is about 30 thousand rubles, and benefits from 3 to 7 years from March to January is about 55 thousand. even taking the amount to the maximum, I didn’t manage to reach 4, which exceeds the subsistence minimum, taking into account benefits from 3 to 7 years. The second reason for refusal is a non-working family member. In March, the eldest child turned 3 years old, sat with him until 3 years old, in April until September she was at the labor exchange, in September she was registered for pregnancy? Whose right? And now my husband is unemployed.",10,Another
"At house number 19 on Druzhby Avenue from the side of the passage to the street. Fetovskaya, an unauthorized parking area is being built. 2 trucks of crushed stone have already been brought to the territory. Please look into it and take action.",11,Another
"Municipal Unitary Enterprise ""Lgovskoye"" has not been paid wages for more than two months, the husband works for thanks, which he also does not receive thanks. The head burns the salary receive not earlier than April. How long can you tolerate the irresponsibility of this organization??? PS At the request of a friend I am writing!",14,Another
"Near the playground of kindergarten 120, cars are regularly parked on the lawn, namely at the corner of the kindergarten, which is adjacent to school 54. Children in the garden walk on the playground 10 centimeters from someone's cars. So drivers still throw garbage and gobies. I wrote about this earlier in one of my appeals, the result was 0. Make a fence, plant a lawn, plant trees, put a high curb, do at least something. Please take action",3,Another
"At the crossroads of st. Sumy and Deineki, near the square with the monument to Deineka, on the sidewalk and lawn for more than 2 weeks from parked cars and from tables they sell fruits and vegetables. They occupied half the sidewalk and trampled the lawn opposite. After trading, they leave garbage and their ancillary items of trade. Take action.",13,Another
"In the forest area adjacent to the houses at 56.60 along Chernyakhovsky Street, a huge flock of dogs started up. Now puppies have appeared in it and closer to spring the flock becomes aggressive, barking at everyone. Please take action.",11,Another
Good afternoon Please take immediate action on the issue of dogs near Conti Children cross the road to the equestrian school and are attacked by a pack of stray dogs. Employees of Conti and the surrounding bases feed and vaccinate without understanding the danger of a pack with puppies and a leader for children! Please take immediate action!!!!,1,Another
"When you find the money and install a secure fence in kindergarten No. 3, why strangers constantly run around the kindergarten at night, then adults come to drink beer, but youngsters come to break something. Can't you really take part in some kind of program that would allocate funds for the fence. It is also very dark near the kindergarten, there is no lighting, we lead the children through the darkness, not a single lantern, and there is no need to write about the lighting on / off mode, I know the schedule without you, better explain why there is no lighting, briefly and to be clear.",7,Another
"Good afternoon! Social Security refuses to accept documents for the `Social contract`. Referring to the fact that the city of Kursk has already spent the funds allocated for targeted assistance to families `For the purchase of clothes, etc.` I ask you to help in solving this problem. We are a poor family. Sincerely, Zekunova Lilia",10,Another
trash don't you mess around on time,3,Another
"Hello, I'm interested in this question. The fee for kindergarten was increased to 160 rubles, and compensation is charged at the previous price. There is an infringement of the right of parents to receive compensation. in my case, since I have one child, I receive less than 20% of the amount paid.",10,Another
"Near the kindergarten, literally 1 meter from the fence, there is no sidewalk that leads to kindergarten 112. In autumn, this area is covered in mud, and in winter it is snow or ice.",7,Another
"Hello. Attached is the response from the administration of the city of Kursk. But more than a year has passed, I have not moved the problem further than unsubscribing. I would like to finally hear the timing. Not an unsubscribe with an indefinite date, but a specific deadline for solving the problem. Or already the answer is that the administration of the city of Kursk is not able to do anything to solve this problem. Thank you.",3,Another
"I ask you to put in order the sidewalk along the school fence on the street. I. Franko. The sidewalk is in NOT satisfactory condition, this sidewalk was repaired during the USSR, after the collapse of the USSR the sidewalk was not repaired. Is it really so difficult to lay new asphalt and install at least a bench with an urn so that pensioners can rest.",5,Another
"Good afternoon! Please pay attention to the unsatisfactory condition of the sports ground of school No. 36 in Kursk, is it planned to reconstruct the stadium as part of the implementation of national projects? If yes, within what time frame?",15,Another
Please put me on the waiting list for financial assistance as a low-income family or on the waiting list for participation in the social contract.,6,Another
"When you have already sawed out a wild-growing maple on the overpass of the Ryshkovo station. I've already scratched the whole car with this weed. I ask you to cut down this maple in the shortest possible time and treat the site with a special solution against the weed. Also, about the congress, I ask you to hang a sign `railway station Ryshkovo`. Please send a photo report about the work done.",0,Another
"On Magistralnaya Street, at the crossroads near the `Konti` factory, there were many dogs. It's scary to go to work in the morning, because one of them rushed and bit her on the leg. And if they attack all together, then it will be impossible to fight them off. There are many organizations on Stroitelnaya Street , people can not pass this place safely , but what if dogs attack a child ? I ask you to take measures to capture and sterilize these dogs or bring to justice the one who breeds and feeds them.",1,Another
"Hello. Tell me, How many times can I participate in the World of Childhood program?",10,Another
"I ask you to install lighting on the street. Foundry opposite houses 34,36,38,40 pensioners live here and they are also probably afraid to walk near their houses at night. I ask you to write a specific deadline for the completion of the work.",3,Another
Public transport stop Kursk Lenin 31. It seems that indifference to the unfavorable state of public spaces is becoming a trend in the city of Kursk.,0,Another
