id,Message text,Текст Сообщения,Тематика,Ответственное лицо,Категория,Subject
2246,"Help the head of the Lgovsky RES does not respond to complaints, and we, like the slightest wind, are sitting without electricity, namely, in the village there are big thefts, the street is an old settlement. Please help, let him clean it up and make a photo report","Помогите начальник Льговского рэс не реагирует на жалобы, а мы как малейший ветер сидим без света, а именно в деревне большие угоны улица старая слобода. Пожалуйста помогите, пускай вычистит и фотоотчет сделает","Нарушения, связанные с содержанием электросети и качеством энергоснабжения в районе частного сектора",Администрация Льговского района,3,Violations related to the maintenance of the power grid and the quality of power supply in the area of ​​the private sector
380,"On the facade of the house at st. Uritskogo 22 passes the pipe of the gas pipeline. Also, this pipe runs next to a tree, which, with every gust of wind, catches the pipe, forcing it to move along the mounts. We are afraid that with a particularly strong gust, the pipe may simply break. And this is a gas, there is a danger of an explosion. We appealed to the gas service and the Ministry of Emergency Situations about this problem, but they refuse to cut down this tree, they say that if there is no smell of gas now, they cannot do anything. But if it starts to smell like gas, it will be too late to do something. I ask you to cut down a tree that poses a danger to the integrity of the gas pipe.","<p>По фасаду дома по адресу ул. Урицкого 22 проходит труба газовой магистрали. Также эта труба проходит рядом с деревом, которое при каждом порыве ветра цепляет трубку, заставляя ее двигаться по креплениям. Мы боимся, что при особенно сильном порыве, труба может просто сломаться. А это газ, существует опасность взрыва. Мы обращались по поводу этой проблемы в газовую службу и в МЧС, но они отказываются спиливать это дерево, говорят, что если сейчас газом не пахнет, они ничего поделать не могут. Но если начнет пахнуть газом, будет уже поздно что-то предпринимать. Прошу спилить дерево, которое создаёт опасность для целостности газовой трубы.</p>",Аварийные деревья,Администрация города Курска,3,emergency trees
2240,Aggressive dogs. On the rainbow there is a flock of grown puppies and adult dogs. They rushed at the Child. Soyaki rush to try to bite the legs. Talking to the guards didn't work.,Агресивные собаки. На радуге там стая из подросших щенков и зврослых собак. Они на Ребенка  бросилась.  Соьаки бросаются пытаются за ноги  укусить. Разговор с охранниками не дал результатов,Безнадзорные животные,Администрация города Курска,1,stray animals
596,"At the intersection of Sosnovskaya and Beregovaya streets, everything is littered with sand and gravel on the sanitary zone of the site that belongs to the MUP KGTPO (central market) it is impossible not to pass without passing with a stroller","<p>На пересечении &nbsp;улиц Сосновская и Береговая &nbsp;завалено все песком и гравием на санитарной зоне участка который относится к <span style=`background-color:rgb(255,255,255);color:rgb(51,51,51);`>МУП КГТПО &nbsp; ( центральный рынок) невозможно не пройти не проехать с коляской</span>&nbsp;</p>",Нескошенная сорная растительность в местах общего пользования в районах частного сектра,Комитет дорожного хозяйства города Курска,3,Uncut weeds in common areas in private sector areas
1797,"Hello! Near the house 1 ""A"" on Svetlaya Street, outside the local area, a maple grows. This is a rather old and fragile tree. In the event of bad weather, branches may break off (as has happened more than once), which will most likely lead to a break in nearby electrical wires, in case of damage to which the entire street will be left without light. In addition, there is a threat to the life and health of people living nearby (including children), as well as their cars and other property. I ask you to carry out a saw cut of a tree or its sanitary pruning.","<p style=`text-align:justify;`><span style=`background-color:white;`>Здравствуйте! Рядом с&nbsp;домом 1 «А» по&nbsp;улице&nbsp;Светлая, вне придомовой территории, растет клен. Это довольно старое и хрупкое дерево. В&nbsp;случае непогоды возможно обламывание ветвей (как уже неоднократно случалось), что с большой вероятностью приведет к&nbsp;обрыву находящихся рядом электрических проводов, в&nbsp;случае повреждения которых без света останется вся улица. Кроме того, возникает угроза жизни и&nbsp;здоровью проживающих рядом людей (в том числе детей), а&nbsp;также их автомобилям и другому имуществу. Прошу провести спил дерева или его санитарную обрезку.</span></p>",Аварийные деревья,Комитет городского хозяйства города Курска,3,emergency trees
1383,"Good afternoon! The management company ""Aurora +"" does not clean the yard area at the address Kursk, st. Soyuznaya d. 71B. I have repeatedly called the management company, but there is no result. After today's snowfall, the situation has not changed either. I ask you to take action and oblige Aurora + Management Company to fulfill its obligations, which they assumed in 2021, to the residents of the apartment building.","<p>Добрый день! Управляющая Компания “Аврора +” не убирает дворовую территорию по адресу г. Курск, ул. Союзная д. 71Б. &nbsp;Я неоднократно звонил в управляющую компанию, но результата нет. &nbsp;После сегодняшнего снегопада ситуация также не изменилась. Прошу принять меры и обязать УК “Аврора +” &nbsp;исполнять свои обязательства, которые они в 2021 году взяли на себя, перед жителями многоквартирного дома. &nbsp;&nbsp;</p>",Несвоевременная очистка дворовой территории многоквартирных домов от наледи и снега,Комитет жилищно-коммунального хозяйства города Курска,3,Untimely cleaning of the yard area of ​​apartment buildings from ice and snow
1934,"Good afternoon, there is completely no external refreshment at the house at 19D Druzhby Avenue, there is not a single lamppost, the entrance area has no lighting. It is necessary to install lighting fixtures that can provide illumination standards!","Добрый день, полностью отсутствует наружнее освежением у дома по адресу проспект Дружбы д.19Д, нет ни одного фонарного столба, предподъездная территория не имеет никакого освещения. 
Необходимо установить осветительные приборы которые могут обеспечить нормы освещённости!",Неработающее наружное освещение,Администрация города Курска,3,Non-working outdoor lighting
2833,"A caustic and unhealthy smell from the quarries of the Cheese Valley plant. - they clean pipes and technical baths with `caustic soda`, then this liquid is poured into the soil without filtration, from where everything enters the groundwater; - in recent years there have been two big fires in the quarries. fat is drained there, which burns well. The gas pipeline was damaged due to the fire. In the presence of wind, the village could burn down; - a pungent odor spreads up to 10 km in different directions, depending on the direction of the wind; - sewage fell into the forest in winter, and a couple of years ago into the pond of Kalinovka village; - an activist who fought against this phenomenon (Dmitry Kutepov) was intimidated by the plant's guards, and people from law enforcement agencies were threatened with a prison term; - Since 2008, the villagers have been complaining, but no action has been taken; - Children have repeatedly fallen into these careers, incl. Adults. No deaths; - headaches and asthma attacks develop from a pungent odor. * Clean water is purposefully collected in one quarry. This quarry is located near the road and all inspections take samples from it. Made it specifically for this. At the moment, waste is drained at night, but it happens during the day. Always at different times. When draining, the fatty film on the surface is broken and everything is tightened with a pungent odor. According to the norms and legislation of the Russian Federation, this production should not be located near residential buildings. Hence, there is a gross violation of the location of production and the location of its tanks for draining sewage. We hope that the laws of the Russian Federation will be observed and production will be moved to another place far from residential buildings or the pits will be drained,","Едкий и вредный для здоровья запах от карьеров завода `Сырная долина`.  - чистят трубы и технические ванны `каустиковой содой`, потом эту жидкость сливают в грунт без фильтрации, откуда все попадает в грунтовые воды; - за последние годы было два больших пожара в карьерах т.к. туда сливается жир, который хорошо горит. Из-за пожара был поврежден газопровод. При наличии ветра, могла сгореть деревня; - едкий запах разносится до 10 км в разные стороны, в зависимости от направления ветра; - нечистоты зимой попадали в лес, а пару лет назад в пруд д. Калиновка; - активиста который боролся с данным явлением (Дмитрий Кутепов), запугивали охранники завода, а люди из правоохранительных органов грозили тюремным сроком; - с 2008 года жители деревни жалуются, но мер никаких принято не было; - неоднократно в данные карьеры падали дети и в т.ч. Взрослые. Без летальных исходов; - от едкого запаха развиваются головные боли и приступы астмы.  * В один карьер целенаправлено набирают чистую воду. Этот карьер находится вблизи дороги и все проверки берут пробы из него. Сделали его специально для этого.  На данный момент сливают отходы в ночное время суток, но бывает и днём. Всегда в разное время. При сливе нарушается жировая пленка на поверхности и все затягивает едким запахом.  По нормам и законодательству Российской Федерации, данное производство не должно быть размещено рядом с жилыми домами. Отсюда на лицо грубое нарушение размещения производства и расположения его резервуаров для слива нечистот.  Надеемся что законы Российской Федерации будут соблюдены и производство будет перенесено в другое место в дали от жилых домов или ямы будут осушены, а все нечистоты будут вывозиться в специальные места для их дальнейшей утилизации.",Неприятные запахи,Комитет природных ресурсов Курской области,16,Unpleasant odors
1263,No hatch,<p>Отсутствие люка</p>,Отсутствие люков на коммуникационных колодцах,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3,Lack of hatches on communication wells
1593,"Good afternoon. At the stop `Ploshchad Rokossovskogo` the underpass is in very poor condition. It is difficult to go down into it and it is difficult to climb out of it, since its steps are broken, and in winter ice still appears on them, which makes movement several times more difficult (both going down to this underground passage and going up). There is a great opportunity to fall and get injured, even holding on to the railing, because if the steps are just icy, then there is still an opportunity to somehow hold on to them, leaning on the railing when descending or ascending, and in this case, the steps of this transition are not only covered with ice in winter , but they are also in a terrible state that is dangerous to people's health. I ask you to deal with this problem and make good steps in this underground passage. Sincerely, Polovinkin V. S.","<p>Добрый день.&nbsp;</p><p>На остановке `Площадь Рокоссовского` подземный переход находится в очень плохом состоянии. В него трудно спускаться и из него трудно подниматься, так как его ступени разбиты, а зимой ещё на них появляется лёд, что в несколько раз затрудняет передвижение (как спуск в данный подземный переход, так и подъём). Велика возможность упасть и получить травму, даже держась за перила, ведь, если ступени просто заледенели, то на них ещё есть возможность как-то удержаться, опираясь на перила при спуске или подъёме, а в данном случае ступени данного перехода не только покрываются льдом зимой, но и находятся в ужасном, опасном для здоровья людей, состоянии.</p><p>Прошу Вас разобраться с данной проблемой и сделать хорошие ступени в данном подземном переходе.</p><p>С уважением,</p><p>Половинкин В. С.</p>",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Комитет природных ресурсов Курской области,0,Pedestrian crossings on roads within the boundaries of urban districts and rural settlements
1900,"Hello, in the village of Stary Buzets, the roads have not been cleared of snow for 3 days. There is no way to go to work. I work in a taxi, I have to pay for a car rental, but I can’t leave for the second day. I'm standing here in the middle of the road, stuck in the snow, under which there is ice.","Здравствуйте, в д. Старый Бузец уже 3 дня не чистят дороги от снега. Нет возможности выехать на работу. Работаю в такси, аренду автомобиля необходимо платить, а я выехать второй день не могу. Стою вот посреди дороги, застряв в снегу, под которым лёд.",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Администрация Железногорского района,0,Clearing snow and ice from roads within the boundaries of urban districts and rural settlements
1852,"LLC Management Company ""My House"" represented by the founder Sitnikova Kristina Mgerovna and CEO Nekrasova Inna Yuryevna send out receipts for payment for the ""management"" of an apartment building: Kursk, Orlovskaya street, house 1 ""A"" with unreasonable debt. Please provide all possible assistance and figure out what is happening there (after the holidays), thank you.","ООО Управляющая Компания «Мой Дом» в лице учредителя Ситниковой  Кристины Мгеровны и генерального директора Некрасовой Инны Юрьевны рассылают квитанции об оплате за «управление» многоквартирным жилым домом: город Курск, улица Орловская, дом 1 «А» с необоснованной задолженностью. 
Просьба оказать посильную помощь и разобраться что у них там происходит (после праздников), спасибо.",Нарушения в вопросах оплаты услуг ЖКХ,Государственная жилищная инспекция Курской области,3,Violations in matters of payment for utility services
478,"Good afternoon, I previously published a message (Message No: 91063 dated 05/17/2021) about the unsatisfactory maintenance of the playground, at the address Kursk, st. Boytsov, 9th Division, 199 A. The State Housing Inspectorate of the Kursk Region replied that this issue was sent for consideration to the administration of the city of Kursk. I would like to know further solution on the issue.","<p>Добрый день, мною ранее было опубликовано сообщение ( Сообщение №:&nbsp;91063 от 17.05.2021) о неудовлетворительном содержании детской площадки, по адресу г. Курск ул. Бойцов 9 Дивизии, д.199 А. Государственная жилищная инспекция Курской области дала ответ о том, что данный вопрос направлен для рассмотрения в администрацию г.Курска. Хотелось бы узнать дальнейшее решение по вопросу.</p>",Неудовлетворительное содержание детской (спортивной) площадки на территории многоквартирных домов,Администрация города Курска,3,Unsatisfactory maintenance of a children's (sports) playground on the territory of apartment buildings
2239,No hatch,Отсутствие люка,Отсутствие люков на коммуникационных колодцах,Администрация города Курска,3,Lack of hatches on communication wells
